C:\Users\jdude\.conda\envs\cs523_code\python.exe C:/Users/jdude/PycharmProjects/CS523FinalProject/DataManipulation/MultiprocessingDataLoading.py
         29192 function calls (29102 primitive calls) in 2.875 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 contextlib.py:210(contextmanager)
        1    0.000    0.000    0.000    0.000 copyreg.py:96(_slotnames)
        2    0.000    0.000    0.000    0.000 functools.py:37(update_wrapper)
        1    0.000    0.000    0.000    0.000 functools.py:67(wraps)
        1    0.000    0.000    0.000    0.000 functools.py:763(singledispatch)
        2    0.000    0.000    0.000    0.000 functools.py:804(register)
      850    0.001    0.000    0.023    0.000 genericpath.py:27(isfile)
        1    0.000    0.000    0.000    0.000 machinery.py:1(<module>)
     3410    0.003    0.000    0.004    0.000 ntpath.py:122(splitdrive)
        5    0.000    0.000    0.000    0.000 ntpath.py:34(_get_bothseps)
        5    0.000    0.000    0.000    0.000 ntpath.py:450(normpath)
        5    0.000    0.000    0.000    0.000 ntpath.py:67(isabs)
     1700    0.002    0.000    0.006    0.000 ntpath.py:75(join)
        1    0.000    0.000    0.000    0.000 pkgutil.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pkgutil.py:194(ImpImporter)
        1    0.000    0.000    0.000    0.000 pkgutil.py:268(ImpLoader)
        1    0.000    0.000    0.004    0.004 popen_spawn_win32.py:1(<module>)
       10    0.000    0.000    0.000    0.000 popen_spawn_win32.py:113(poll)
        1    0.000    0.000    0.000    0.000 popen_spawn_win32.py:22(_path_eq)
        1    0.000    0.000    0.000    0.000 popen_spawn_win32.py:39(Popen)
        5    0.276    0.055    0.284    0.057 popen_spawn_win32.py:45(__init__)
       25    0.000    0.000    0.000    0.000 popen_spawn_win32.py:54(<genexpr>)
       15    0.000    0.000    2.554    0.170 popen_spawn_win32.py:97(wait)
        5    0.000    0.000    0.289    0.058 process.py:101(start)
        5    0.000    0.000    2.554    0.511 process.py:133(join)
        5    0.000    0.000    0.000    0.000 process.py:204(authkey)
       10    0.000    0.000    0.000    0.000 process.py:326(__reduce__)
       10    0.000    0.000    0.000    0.000 process.py:36(current_process)
        5    0.000    0.000    0.000    0.000 process.py:53(_cleanup)
