C:\Users\jdude\.conda\envs\cs523_code\python.exe C:/Users/jdude/PycharmProjects/CS523FinalProject/Exponents/DaskExponents.py
32317006071311007300714876688669951960444102669715484032130345427524655138867890893197201411522913463688717960921898019494119559150490921095088152386448283120630877367300996091750197750389652106796057638384067568276792218642619756161838094338476170470581645852036305042887575891541065808607552399123930385521914333389668342420684974786564569494856176035326322058077805659331026192708460314150258592864177116725943603718461857357598351152301645904403697613233287231227125684710820209725157101726931323469678542580656697935045997268352998638215525166389437335543602135433229604645318478604952148193555853611059596230656
         278581 function calls (264419 primitive calls) in 1.080 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    1.080    1.080 DaskExponents.py:59(doWork)
        1    0.000    0.000    0.000    0.000 __init__.py:316(namedtuple)
        4    0.000    0.000    0.000    0.000 __init__.py:388(<genexpr>)
      128    0.000    0.000    0.000    0.000 __init__.py:910(__getitem__)
      128    0.000    0.000    0.001    0.000 __init__.py:918(get)
      128    0.000    0.000    0.001    0.000 __init__.py:930(__contains__)
      256    0.000    0.000    0.000    0.000 __init__.py:931(<genexpr>)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:271(__subclasshook__)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:349(__subclasshook__)
        4    0.000    0.000    0.000    0.000 _collections_abc.py:392(__subclasshook__)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:657(get)
      128    0.000    0.000    0.000    0.000 _collections_abc.py:672(keys)
      128    0.000    0.000    0.000    0.000 _collections_abc.py:698(__init__)
      256    0.000    0.000    0.000    0.000 _collections_abc.py:719(__iter__)
        2    0.000    0.000    0.000    0.000 _collections_abc.py:72(_check_methods)
        2    0.000    0.000    0.000    0.000 _collections_abc.py:816(clear)
      131    0.000    0.000    0.000    0.000 _weakrefset.py:81(add)
        1    0.000    0.000    0.000    0.000 abc.py:1(<module>)
       11    0.000    0.000    0.000    0.000 abc.py:125(__new__)
       24    0.000    0.000    0.000    0.000 abc.py:130(register)
        1    0.000    0.000    0.000    0.000 abc.py:136(Loader)
      642    0.000    0.000    0.000    0.000 abc.py:137(__instancecheck__)
    30/28    0.000    0.000    0.000    0.000 abc.py:141(__subclasscheck__)
        1    0.000    0.000    0.000    0.000 abc.py:183(ResourceLoader)
        7    0.000    0.000    0.000    0.000 abc.py:19(_register)
        1    0.000    0.000    0.000    0.000 abc.py:199(InspectLoader)
        1    0.000    0.000    0.000    0.000 abc.py:252(ExecutionLoader)
        1    0.000    0.000    0.000    0.000 abc.py:289(FileLoader)
        1    0.000    0.000    0.000    0.000 abc.py:298(SourceLoader)
        1    0.000    0.000    0.000    0.000 abc.py:30(Finder)
        1    0.000    0.000    0.000    0.000 abc.py:345(ResourceReader)
        1    0.000    0.000    0.000    0.000 abc.py:50(MetaPathFinder)
        8    0.000    0.000    0.000    0.000 abc.py:7(abstractmethod)
        1    0.000    0.000    0.000    0.000 abc.py:87(PathEntryFinder)
        1    0.000    0.000    0.000    0.000 base.py:1116(get_scheduler)
      640    0.000    0.000    0.000    0.000 base.py:152(is_dask_collection)
      128    0.000    0.000    0.000    0.000 base.py:317(optimization_function)
        1    0.000    0.000    0.001    0.001 base.py:321(collections_to_dsk)
        2    0.000    0.000    0.000    0.000 base.py:343(<genexpr>)
        1    0.000    0.000    0.000    0.000 base.py:353(_extract_graph_and_keys)
        2    0.000    0.000    0.000    0.000 base.py:363(<genexpr>)
        1    0.000    0.000    0.001    0.001 base.py:371(unpack_collections)
      128    0.000    0.000    0.001    0.000 base.py:404(_unpack)
        1    0.000    0.000    0.001    0.001 base.py:442(<listcomp>)
        1    0.000    0.000    0.002    0.002 base.py:444(repack)
        1    0.000    0.000    1.073    1.073 base.py:506(compute)
        1    0.000    0.000    0.000    0.000 base.py:566(<listcomp>)
      128    0.000    0.000    0.000    0.000 base.py:781(tokenize)
      128    0.000    0.000    0.000    0.000 base.py:837(normalize_object)
        1    0.000    0.000    0.000    0.000 callbacks.py:82(unpack_callbacks)
        2    0.000    0.000    0.000    0.000 callbacks.py:90(local_callbacks)
      384    0.000    0.000    0.001    0.000 cloudpickle.py:126(_whichmodule)
      384    0.000    0.000    0.002    0.000 cloudpickle.py:169(_is_importable)
      384    0.001    0.000    0.002    0.000 cloudpickle.py:189(_lookup_module_and_qualname)
      128    0.000    0.000    0.001    0.000 cloudpickle.py:229(_extract_code_globals)
        1    0.000    0.000    0.000    0.000 cloudpickle.py:236(<setcomp>)
      128    0.000    0.000    0.000    0.000 cloudpickle.py:254(_find_imported_submodules)
        2    0.000    0.000    0.000    0.000 cloudpickle.py:420(_walk_global_ops)
      128    0.001    0.000    0.002    0.000 cloudpickle_fast.py:139(_function_getstate)
      128    0.000    0.000    0.000    0.000 cloudpickle_fast.py:158(<dictcomp>)
      128    0.000    0.000    0.000    0.000 cloudpickle_fast.py:245(_code_reduce)
      128    0.000    0.000    0.003    0.000 cloudpickle_fast.py:504(_dynamic_function_reduce)
      128    0.000    0.000    0.001    0.000 cloudpickle_fast.py:528(_function_getnewargs)
      128    0.000    0.000    0.119    0.001 cloudpickle_fast.py:561(dump)
