C:\Users\jdude\.conda\envs\cs523_code\python.exe C:/Users/jdude/PycharmProjects/CS523FinalProject/Messaging/MultProgMessaging.py
Hello 15000, this is 13516.
Hello 15000, this is 10180.
Hello 15000, this is 7208.
Hello 15000, this is 16644.
Hello 15000, this is 10344.
Done
         4409 function calls (4273 primitive calls) in 0.091 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     13/1    0.000    0.000    0.010    0.010 <frozen importlib._bootstrap_external>:722(exec_module)
       63    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
       13    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:793(get_code)
       16    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:884(__init__)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:909(get_filename)
       13    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:914(get_data)
       15    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:98(_path_isdir)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.091    0.091 MultProgMessaging.py:13(doWork)
        1    0.000    0.000    0.001    0.001 __init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:316(namedtuple)
        4    0.000    0.000    0.000    0.000 __init__.py:388(<genexpr>)
        2    0.000    0.000    0.000    0.000 _collections_abc.py:816(clear)
        5    0.000    0.000    0.000    0.000 _weakrefset.py:38(_remove)
        5    0.000    0.000    0.000    0.000 _weakrefset.py:81(add)
        1    0.000    0.000    0.000    0.000 abc.py:1(<module>)
       25    0.000    0.000    0.000    0.000 abc.py:125(__new__)
       24    0.000    0.000    0.000    0.000 abc.py:130(register)
        1    0.000    0.000    0.000    0.000 abc.py:136(Loader)
       24    0.000    0.000    0.000    0.000 abc.py:141(__subclasscheck__)
        1    0.000    0.000    0.000    0.000 abc.py:183(ResourceLoader)
        7    0.000    0.000    0.000    0.000 abc.py:19(_register)
        1    0.000    0.000    0.000    0.000 abc.py:199(InspectLoader)
        1    0.000    0.000    0.000    0.000 abc.py:252(ExecutionLoader)
        1    0.000    0.000    0.000    0.000 abc.py:289(FileLoader)
        1    0.000    0.000    0.000    0.000 abc.py:298(SourceLoader)
        1    0.000    0.000    0.000    0.000 abc.py:30(Finder)
        1    0.000    0.000    0.000    0.000 abc.py:345(ResourceReader)
        1    0.000    0.000    0.000    0.000 abc.py:50(MetaPathFinder)
       10    0.000    0.000    0.000    0.000 abc.py:7(abstractmethod)
        1    0.000    0.000    0.000    0.000 abc.py:87(PathEntryFinder)
        5    0.000    0.000    0.019    0.004 context.py:221(_Popen)
        5    0.000    0.000    0.000    0.000 context.py:232(get_context)
        5    0.000    0.000    0.000    0.000 context.py:248(get_start_method)
        5    0.000    0.000    0.019    0.004 context.py:319(_Popen)
       10    0.000    0.000    0.000    0.000 context.py:346(get_spawning_popen)
       10    0.000    0.000    0.000    0.000 context.py:349(set_spawning_popen)
        1    0.000    0.000    0.000    0.000 contextlib.py:1(<module>)
        1    0.000    0.000    0.000    0.000 contextlib.py:14(AbstractContextManager)
        1    0.000    0.000    0.000    0.000 contextlib.py:164(_AsyncGeneratorContextManager)
        1    0.000    0.000    0.000    0.000 contextlib.py:210(contextmanager)
        1    0.000    0.000    0.000    0.000 contextlib.py:276(closing)
        1    0.000    0.000    0.000    0.000 contextlib.py:301(_RedirectStream)
        1    0.000    0.000    0.000    0.000 contextlib.py:319(redirect_stdout)
        1    0.000    0.000    0.000    0.000 contextlib.py:335(redirect_stderr)
        1    0.000    0.000    0.000    0.000 contextlib.py:34(AbstractAsyncContextManager)
        1    0.000    0.000    0.000    0.000 contextlib.py:341(suppress)
        1    0.000    0.000    0.000    0.000 contextlib.py:371(_BaseExitStack)
        1    0.000    0.000    0.000    0.000 contextlib.py:467(ExitStack)
        1    0.000    0.000    0.000    0.000 contextlib.py:536(AsyncExitStack)
        1    0.000    0.000    0.000    0.000 contextlib.py:55(ContextDecorator)
        1    0.000    0.000    0.000    0.000 contextlib.py:685(nullcontext)
        1    0.000    0.000    0.000    0.000 contextlib.py:78(_GeneratorContextManagerBase)
        1    0.000    0.000    0.000    0.000 contextlib.py:96(_GeneratorContextManager)
        1    0.000    0.000    0.000    0.000 copyreg.py:96(_slotnames)
        2    0.000    0.000    0.000    0.000 functools.py:37(update_wrapper)
        1    0.000    0.000    0.000    0.000 functools.py:67(wraps)
        1    0.000    0.000    0.001    0.001 functools.py:763(singledispatch)
        2    0.000    0.000    0.000    0.000 functools.py:804(register)
        1    0.000    0.000    0.000    0.000 machinery.py:1(<module>)
       10    0.000    0.000    0.000    0.000 ntpath.py:122(splitdrive)
        5    0.000    0.000    0.000    0.000 ntpath.py:34(_get_bothseps)
        5    0.000    0.000    0.000    0.000 ntpath.py:450(normpath)
        5    0.000    0.000    0.000    0.000 ntpath.py:67(isabs)
        1    0.000    0.000    0.001    0.001 pkgutil.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pkgutil.py:194(ImpImporter)
        1    0.000    0.000    0.000    0.000 pkgutil.py:268(ImpLoader)
        1    0.000    0.000    0.010    0.010 popen_spawn_win32.py:1(<module>)
       10    0.000    0.000    0.000    0.000 popen_spawn_win32.py:113(poll)
        1    0.000    0.000    0.000    0.000 popen_spawn_win32.py:22(_path_eq)
        1    0.000    0.000    0.000    0.000 popen_spawn_win32.py:39(Popen)
        5    0.000    0.000    0.008    0.002 popen_spawn_win32.py:45(__init__)
       25    0.000    0.000    0.000    0.000 popen_spawn_win32.py:54(<genexpr>)
       15    0.000    0.000    0.072    0.005 popen_spawn_win32.py:97(wait)
        5    0.000    0.000    0.019    0.004 process.py:101(start)
        5    0.000    0.000    0.072    0.014 process.py:133(join)
        5    0.000    0.000    0.000    0.000 process.py:204(authkey)
